id;language;title;content;date
1;ES;Direct;../fake-data/blob/hipster.txt;2020-02-24T10:36:54
2;FR;cutting-edge ability Hat;../fake-data/blob/hipster.txt;2020-02-24T04:19:41
3;EN;User-centric Gloves;../fake-data/blob/hipster.txt;2020-02-24T11:53:45
4;FR;Versatile Exclusive Moroccan Dirham;../fake-data/blob/hipster.txt;2020-02-24T00:03:06
5;NL;mission-critical;../fake-data/blob/hipster.txt;2020-02-23T17:42:27
6;ES;deposit Canadian Dollar Lebanon;../fake-data/blob/hipster.txt;2020-02-24T06:23:58
7;ES;Re-contextualized;../fake-data/blob/hipster.txt;2020-02-23T21:52:15
8;ES;bypassing optical;../fake-data/blob/hipster.txt;2020-02-24T13:31:44
9;RO;HDD;../fake-data/blob/hipster.txt;2020-02-24T09:19:23
10;ES;Rustic Quality;../fake-data/blob/hipster.txt;2020-02-24T07:36:16
